,Time (s),Latitude_x,Longitude_x,Latitude_y,Longitude_y,xl-xf,xl-xf-d,vf-vi,TTC
0,2,-27.93454934,153.3911746,-27.93448799,153.3904296,73.50531508019208,70.50531508019208,0.0,NA
1,3,-27.93455036,153.391181,-27.93448546,153.3904317,73.96340153485029,70.96340153485029,-0.45808645465821485,NA
2,4,-27.93455155,153.3911883,-27.93448735,153.3904374,74.11229661117049,71.11229661117049,-0.14889507632020127,NA
3,5,-27.93455288,153.3911963,-27.93449087,153.3904457,74.05989137258514,71.05989137258514,0.052405238585350844,1355.9692368703184
4,6,-27.93455434,153.391205,-27.93449567,153.3904564,73.83052356518911,70.83052356518911,0.2293678073960308,308.80760630410435
5,7,-27.93455592,153.3912142,-27.93450139,153.390469,73.45839059012827,70.45839059012827,0.3721329750608362,189.33659555058176
6,8,-27.9345576,153.3912239,-27.93450768,153.3904832,72.9770504446984,69.9770504446984,0.48134014542986847,145.3796262561983
7,9,-27.93455937,153.391234,-27.93451408,153.3904988,72.40067879830592,69.40067879830592,0.576371646392488,120.40959896741104
8,10,-27.9345608,153.3912428,-27.93451983,153.3905151,71.63353382274994,68.63353382274994,0.7671449755559792,89.46618437148547
9,11,-27.93456271,153.3912534,-27.93452465,153.3905317,71.0252858525651,68.0252858525651,0.6082479701848342,111.83808115610086
10,12,-27.93456491,153.3912648,-27.93452941,153.3905488,70.44980099208242,67.44980099208242,0.575484860482689,117.20517015079905
11,13,-27.93456727,153.3912768,-27.93453385,153.390566,69.92709182617857,66.92709182617857,0.5227091659038479,128.03887169349883
12,14,-27.93456971,153.3912888,-27.93453749,153.3905826,69.46882384781692,66.46882384781692,0.458267978361647,145.04357054457412
13,15,-27.93457205,153.3913005,-27.93454124,153.3905993,68.97031962466454,65.97031962466454,0.49850422315238063,132.33653108792024
14,16,-27.9345737,153.3913093,-27.93454491,153.3906158,68.20391008589712,65.20391008589712,0.7664095387674195,85.07711189341603
15,17,-27.93457521,153.3913173,-27.93454813,153.3906324,67.35122731896212,64.35122731896212,0.8526827669350041,75.46913085891802
16,18,-27.9345769,153.3913263,-27.93455096,153.3906488,66.6193835065639,63.619383506563906,0.7318438123982105,86.93027450500239
17,19,-27.93457872,153.3913359,-27.93455391,153.3906655,65.91716802449227,62.91716802449227,0.7022154820716366,89.59809293705342
18,20,-27.93458065,153.3913459,-27.93455719,153.3906824,65.2337422414121,62.2337422414121,0.6834257830801675,91.0614492197347
19,21,-27.9345825,153.3913556,-27.93456057,153.3906997,64.48107064425925,61.48107064425925,0.7526715971528546,81.68379260865547
20,22,-27.93458444,153.3913656,-27.9345635,153.390716,63.85850203232073,60.85850203232073,0.6225686119385188,97.75388746763667
21,23,-27.93458587,153.391374,-27.93456674,153.3907333,62.97764411917099,59.97764411917099,0.8808579131497396,68.09003270993516
22,24,-27.93458732,153.3913826,-27.93457015,153.3907509,62.086919625789285,59.086919625789285,0.890724493381704,66.33579750508629
23,25,-27.9345889,153.3913919,-27.9345738,153.3907689,61.22590440970524,58.22590440970524,0.8610152160840485,67.62471013522888
24,26,-27.93459069,153.3914022,-27.93457774,153.3907872,60.434121583191086,57.434121583191086,0.7917828265141509,72.53772077382207
25,27,-27.93459269,153.3914134,-27.93458203,153.3908059,59.69194003188996,56.69194003188996,0.7421815513011225,76.38554196409628
26,28,-27.93459527,153.3914271,-27.93458673,153.3908251,59.147476974206455,56.147476974206455,0.5444630576835081,103.12449335514793
27,30,-27.93460038,153.3914537,-27.9345919,153.3908448,59.82513104734858,56.82513104734858,-0.33882703657106106,NA
